"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 03 07:11:13 UTC 2026","Fri Apr 03 07:11:13 UTC 2026","312","tests.e2e","test_todomvc","TestTodoMVC","","","标记待办事项为已完成","测试标记待办事项为已完成"
"passed","Fri Apr 03 07:11:12 UTC 2026","Fri Apr 03 07:11:12 UTC 2026","161","tests.e2e","test_todomvc","TestTodoMVC","","","添加新的待办事项","测试添加待办事项场景"
"passed","Fri Apr 03 07:11:12 UTC 2026","Fri Apr 03 07:11:12 UTC 2026","2","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试 SmartLocator 解析定位器配置","测试 SmartLocator 能否正确解析各种定位器配置"
"passed","Fri Apr 03 07:11:12 UTC 2026","Fri Apr 03 07:11:12 UTC 2026","145","tests.e2e","test_todomvc","TestTodoMVC","","","TodoMVC 页面加载成功","测试 TodoMVC 页面加载场景"
"passed","Fri Apr 03 07:11:12 UTC 2026","Fri Apr 03 07:11:12 UTC 2026","12","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试 SmartPage 使用语义化定位器","测试 SmartPage 能否正确使用语义化定位器"
"passed","Fri Apr 03 07:11:14 UTC 2026","Fri Apr 03 07:11:14 UTC 2026","4","tests.integration","test_mock_server","TestMockServer","","","测试 GET 请求 Mock","测试 Mock 服务器的 GET 请求"
"passed","Fri Apr 03 07:11:13 UTC 2026","Fri Apr 03 07:11:13 UTC 2026","227","tests.e2e","test_todomvc","TestTodoMVC","","","删除待办事项","测试删除待办事项"
"passed","Fri Apr 03 07:11:15 UTC 2026","Fri Apr 03 07:11:16 UTC 2026","669","tests.unit","test_sample","TestSample","","","验证添加待办事项功能",""
"passed","Fri Apr 03 07:11:09 UTC 2026","Fri Apr 03 07:11:09 UTC 2026","6","tests.api","test_mock_api","TestMockUserAPI","","","测试 GET 请求 Mock - 获取用户列表","测试 Mock 服务器的 GET 请求"
"passed","Fri Apr 03 07:11:13 UTC 2026","Fri Apr 03 07:11:14 UTC 2026","196","tests.e2e","test_todomvc","TestTodoMVC","","","检查 TodoMVC 页面元素","测试 TodoMVC 页面元素显示"
"passed","Fri Apr 03 07:11:12 UTC 2026","Fri Apr 03 07:11:12 UTC 2026","1","tests.e2e","test_semantic_locators","TestSemanticLocators","","","测试定位器优先级顺序","测试定位器按正确优先级解析"
"passed","Fri Apr 03 07:11:14 UTC 2026","Fri Apr 03 07:11:15 UTC 2026","650","tests.unit","test_sample","TestSample","","","验证 Playwright 演示页面可以正常访问",""
